id,name,movie_id,character_name
1,Christian Bale,1,Bruce Wayne
2,Michael Caine,1,Alfred
3,Liam Neeson,1,Ra's Al Ghul
4,Katie Holmes,1,Rachel Dawes
5,Gary Oldman,1,Commissioner Gordon
6,Christian Bale,2,Bruce Wayne
7,Heath Ledger,2,Joker
8,Aaron Eckhart,2,Harvey Dent
9,Michael Caine,2,Alfred
10,Maggie Gyllenhaal,2,Rachel Dawes
11,Christian Bale,3,Bruce Wayne
12,Gary Oldman,3,Commissioner Gordon
13,Tom Hardy,3,Bane
14,Joseph Gordon-Levitt,3,John Blake
15,Anne Hathaway,3,Selina Kyle
